[10:45:01] [Server thread/INFO]: Starting minecraft server version 1.10.2
[10:47:01] [Server thread/INFO]: Loading properties
[10:47:01] [Server thread/INFO]: Default game type: SURVIVAL
[10:47:01] [Server thread/INFO]: Generating keypair
[10:47:01] [Server thread/INFO]: Starting Minecraft server on *:25565
[10:47:01] [Server thread/INFO]: Using default channel type
[10:47:30] [Server thread/INFO]: Preparing level "world"
[10:47:38] [Server thread/INFO]: Preparing start region for level 0
[10:47:41] [Server thread/INFO]: Preparing spawn area: 45%
[10:47:42] [Server thread/INFO]: Done (11.801s)! For help, type "help" or "?"
[10:48:26] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 37231ms behind, skipping 744 tick(s)
[10:48:45] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 18391ms behind, skipping 367 tick(s)
[10:48:51] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 6661ms behind, skipping 133 tick(s)
[10:48:56] [User Authenticator #1/INFO]: UUID of player ReelablePenny14 is dfea9c0c-337a-4402-9e4a-2b1dc441cea4
[10:49:02] [Server thread/INFO]: ReelablePenny14[/127.0.0.1:53087] logged in with entity id 463 at (107.89606381461148, 58.0, 264.5273737767873)
[10:49:02] [Server thread/INFO]: ReelablePenny14 joined the game
[10:49:43] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 34517ms behind, skipping 690 tick(s)
[10:49:48] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 5136ms behind, skipping 102 tick(s)
[10:50:36] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 30777ms behind, skipping 615 tick(s)
[10:50:44] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 8110ms behind, skipping 162 tick(s)
[10:51:15] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 21313ms behind, skipping 426 tick(s)
